Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,Sex,UNIT_MEASURE,Value
2010,Normal value,Units,Country Data,Annual,National,Number of women who contacted forensic medical units due to domestic violence,Kyrgyzstan,Female,Number,1308
2011,Normal value,Units,Country Data,Annual,National,Number of women who contacted forensic medical units due to domestic violence,Kyrgyzstan,Female,Number,1453
2012,Normal value,Units,Country Data,Annual,National,Number of women who contacted forensic medical units due to domestic violence,Kyrgyzstan,Female,Number,1900
2013,Normal value,Units,Country Data,Annual,National,Number of women who contacted forensic medical units due to domestic violence,Kyrgyzstan,Female,Number,1589
2014,Normal value,Units,Country Data,Annual,National,Number of women who contacted forensic medical units due to domestic violence,Kyrgyzstan,Female,Number,1988
2015,Normal value,Units,Country Data,Annual,National,Number of women who contacted forensic medical units due to domestic violence,Kyrgyzstan,Female,Number,936
2016,Normal value,Units,Country Data,Annual,National,Number of women who contacted forensic medical units due to domestic violence,Kyrgyzstan,Female,Number,1172
2017,Normal value,Units,Country Data,Annual,National,Number of women who contacted forensic medical units due to domestic violence,Kyrgyzstan,Female,Number,1382
2018,Normal value,Units,Country Data,Annual,National,Number of women who contacted forensic medical units due to domestic violence,Kyrgyzstan,Female,Number,1305
2019,Normal value,Units,Country Data,Annual,National,Number of women who contacted forensic medical units due to domestic violence,Kyrgyzstan,Female,Number,1764
2010,Normal value,Units,Country Data,Annual,National,Number of women who contacted paramedic-midwifery units due to domestic violence,Kyrgyzstan,Female,Number,68
2011,Normal value,Units,Country Data,Annual,National,Number of women who contacted paramedic-midwifery units due to domestic violence,Kyrgyzstan,Female,Number,155
2012,Normal value,Units,Country Data,Annual,National,Number of women who contacted paramedic-midwifery units due to domestic violence,Kyrgyzstan,Female,Number,16
2013,Normal value,Units,Country Data,Annual,National,Number of women who contacted paramedic-midwifery units due to domestic violence,Kyrgyzstan,Female,Number,48
2014,Normal value,Units,Country Data,Annual,National,Number of women who contacted paramedic-midwifery units due to domestic violence,Kyrgyzstan,Female,Number,35
2015,Normal value,Units,Country Data,Annual,National,Number of women who contacted paramedic-midwifery units due to domestic violence,Kyrgyzstan,Female,Number,12
2016,Normal value,Units,Country Data,Annual,National,Number of women who contacted paramedic-midwifery units due to domestic violence,Kyrgyzstan,Female,Number,2
2017,Normal value,Units,Country Data,Annual,National,Number of women who contacted paramedic-midwifery units due to domestic violence,Kyrgyzstan,Female,Number,1
2019,Normal value,Units,Country Data,Annual,National,Number of women who contacted paramedic-midwifery units due to domestic violence,Kyrgyzstan,Female,Number,2
2010,Normal value,Units,Country Data,Annual,National,"Number of women who contacted healthcare organizations that provide health
and preventive care, due to domestic violence",Kyrgyzstan,Female,Number,401
2011,Normal value,Units,Country Data,Annual,National,"Number of women who contacted healthcare organizations that provide health
and preventive care, due to domestic violence",Kyrgyzstan,Female,Number,581
