Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,URBANISATION,UNIT_MEASURE,Value
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,_L_KG_050601_1,KG,F,Y15T49,,PT,99.7
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,_L_KG_050601_1,KG,F,Y15T49,U,PT,99.8
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,_L_KG_050601_1,KG,F,Y15T49,R,PT,99.6
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,_L_KG_050601_1,KG05,F,Y15T49,,PT,99.7
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,_L_KG_050601_1,KG03,F,Y15T49,,PT,99.4
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,_L_KG_050601_1,KG02,F,Y15T49,,PT,100.0
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,_L_KG_050601_1,KG04,F,Y15T49,,PT,99.7
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,_L_KG_050601_1,KG06,F,Y15T49,,PT,99.8
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,_L_KG_050601_1,KG07,F,Y15T49,,PT,100.0
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,_L_KG_050601_1,KG08,F,Y15T49,,PT,99.5
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,_L_KG_050601_1,KG11,F,Y15T49,,PT,99.9
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,_L_KG_050601_1,KG21,F,Y15T49,,PT,99.5
