Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Age,Education level,UNIT_MEASURE,Value
2010,Normal value,Units,Country Data,Annual,National,Proportion of young people receiving education,Kyrgyzstan,,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate),Percent,9.0
2013,Normal value,Units,Country Data,Annual,National,Proportion of young people receiving education,Kyrgyzstan,,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate),Percent,9.4
2014,Normal value,Units,Country Data,Annual,National,Proportion of young people receiving education,Kyrgyzstan,,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate),Percent,9.3
2015,Normal value,Units,Country Data,Annual,National,Proportion of young people receiving education,Kyrgyzstan,,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate),Percent,9.5
2016,Normal value,Units,Country Data,Annual,National,Proportion of young people receiving education,Kyrgyzstan,,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate),Percent,10.4
2017,Normal value,Units,Country Data,Annual,National,Proportion of young people receiving education,Kyrgyzstan,,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate),Percent,10.9
2018,Normal value,Units,Country Data,Annual,National,Proportion of young people receiving education,Kyrgyzstan,,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate),Percent,10.1
2019,Normal value,Units,Country Data,Annual,National,Proportion of young people receiving education,Kyrgyzstan,,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate),Percent,10.0
2010,Normal value,Units,Country Data,Annual,National,Proportion of young people receiving education,Kyrgyzstan,Female,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate),Percent,5.4
2013,Normal value,Units,Country Data,Annual,National,Proportion of young people receiving education,Kyrgyzstan,Female,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate),Percent,6.0
2014,Normal value,Units,Country Data,Annual,National,Proportion of young people receiving education,Kyrgyzstan,Female,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate),Percent,5.6
2015,Normal value,Units,Country Data,Annual,National,Proportion of young people receiving education,Kyrgyzstan,Female,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate),Percent,5.8
2016,Normal value,Units,Country Data,Annual,National,Proportion of young people receiving education,Kyrgyzstan,Female,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate),Percent,6.3
2017,Normal value,Units,Country Data,Annual,National,Proportion of young people receiving education,Kyrgyzstan,Female,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate),Percent,6.9
2018,Normal value,Units,Country Data,Annual,National,Proportion of young people receiving education,Kyrgyzstan,Female,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate),Percent,6.2
2019,Normal value,Units,Country Data,Annual,National,Proportion of young people receiving education,Kyrgyzstan,Female,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate),Percent,6.2
2010,Normal value,Units,Country Data,Annual,National,Proportion of young people receiving education,Kyrgyzstan,Male,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate),Percent,12.5
2013,Normal value,Units,Country Data,Annual,National,Proportion of young people receiving education,Kyrgyzstan,Male,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate),Percent,12.6
2014,Normal value,Units,Country Data,Annual,National,Proportion of young people receiving education,Kyrgyzstan,Male,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate),Percent,12.9
2015,Normal value,Units,Country Data,Annual,National,Proportion of young people receiving education,Kyrgyzstan,Male,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate),Percent,13.1
2016,Normal value,Units,Country Data,Annual,National,Proportion of young people receiving education,Kyrgyzstan,Male,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate),Percent,14.3
