Year,Observation status,Unit multiplier,Nature of data points,Observation-level footnotes,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Age,Degree of urbanisation,Income or wealth quantile,Education level,Disability status,UNIT_MEASURE,Value
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014.",Annual,National,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,Kyrgyzstan,Female,,,,,,Percent,42.0
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,Kyrgyzstan,Female,,,,,,Percent,67.4
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014.",Annual,National,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,Batken,Female,,,,,,Percent,45.0
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,Batken,Female,,,,,,Percent,48.6
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014.",Annual,National,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,Jalal-Abad,Female,,,,,,Percent,31.4
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,Jalal-Abad,Female,,,,,,Percent,56.2
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014.",Annual,National,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,Issyk-Kul,Female,,,,,,Percent,46.0
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,Issyk-Kul,Female,,,,,,Percent,65.1
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014.",Annual,National,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,Naryn,Female,,,,,,Percent,58.9
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,Naryn,Female,,,,,,Percent,79.8
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014.",Annual,National,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,Osh,Female,,,,,,Percent,38.4
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,Osh,Female,,,,,,Percent,71.1
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014.",Annual,National,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,Talas,Female,,,,,,Percent,43.4
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,Talas,Female,,,,,,Percent,79.1
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014.",Annual,National,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,Chui,Female,,,,,,Percent,47.8
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,Chui,Female,,,,,,Percent,70.7
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014.",Annual,National,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,Bishkek (city),Female,,,,,,Percent,47.0
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,Bishkek (city),Female,,,,,,Percent,69.6
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014.",Annual,National,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,Osh (city),Female,,,,,,Percent,38.3
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,Osh (city),Female,,,,,,Percent,71.3
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014.",Annual,National,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,Kyrgyzstan,Female,,Urban,,,,Percent,43.1
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,Kyrgyzstan,Female,,Urban,,,,Percent,68.6
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014.",Annual,National,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,Kyrgyzstan,Female,,Rural,,,,Percent,41.4
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,Kyrgyzstan,Female,,Rural,,,,Percent,66.7
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014.",Annual,National,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,Kyrgyzstan,Female,15 to 19 years old,,,,,Percent,17.4
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,Kyrgyzstan,Female,15 to 19 years old,,,,,Percent,31.7
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014.",Annual,National,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,Kyrgyzstan,Female,20 to 24 years old,,,,,Percent,28.9
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,Kyrgyzstan,Female,20 to 24 years old,,,,,Percent,53.8
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014.",Annual,National,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,Kyrgyzstan,Female,25 to 29 years old,,,,,Percent,39.2
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,Kyrgyzstan,Female,25 to 29 years old,,,,,Percent,59.9
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014.",Annual,National,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,Kyrgyzstan,Female,30 to 34 years old,,,,,Percent,50.4
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,Kyrgyzstan,Female,30 to 34 years old,,,,,Percent,76.2
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014.",Annual,National,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,Kyrgyzstan,Female,35 to 39 years old,,,,,Percent,57.2
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,Kyrgyzstan,Female,35 to 39 years old,,,,,Percent,74.5
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014.",Annual,National,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,Kyrgyzstan,Female,40 to 44 years old,,,,,Percent,52.2
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,Kyrgyzstan,Female,40 to 44 years old,,,,,Percent,68.7
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014.",Annual,National,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,Kyrgyzstan,Female,45 to 49 years old,,,,,Percent,29.3
