Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2007,Normal value,Units,Country Data,Annual,National,Proportion of domestic budget funded by domestic taxes,Kyrgyzstan,Percent,73.7
2008,Normal value,Units,Country Data,Annual,National,Proportion of domestic budget funded by domestic taxes,Kyrgyzstan,Percent,77.0
2009,Normal value,Units,Country Data,Annual,National,Proportion of domestic budget funded by domestic taxes,Kyrgyzstan,Percent,64.8
2010,Normal value,Units,Country Data,Annual,National,Proportion of domestic budget funded by domestic taxes,Kyrgyzstan,Percent,67.9
2011,Normal value,Units,Country Data,Annual,National,Proportion of domestic budget funded by domestic taxes,Kyrgyzstan,Percent,68.1
2012,Normal value,Units,Country Data,Annual,National,Proportion of domestic budget funded by domestic taxes,Kyrgyzstan,Percent,73.0
2013,Normal value,Units,Country Data,Annual,National,Proportion of domestic budget funded by domestic taxes,Kyrgyzstan,Percent,71.5
2014,Normal value,Units,Country Data,Annual,National,Proportion of domestic budget funded by domestic taxes,Kyrgyzstan,Percent,69.2
2015,Normal value,Units,Country Data,Annual,National,Proportion of domestic budget funded by domestic taxes,Kyrgyzstan,Percent,65.9
2016,Normal value,Units,Country Data,Annual,National,Proportion of domestic budget funded by domestic taxes,Kyrgyzstan,Percent,71.8
2017,Normal value,Units,Country Data,Annual,National,Proportion of domestic budget funded by domestic taxes,Kyrgyzstan,Percent,69.1
2018,Normal value,Units,Country Data,Annual,National,Proportion of domestic budget funded by domestic taxes,Kyrgyzstan,Percent,76.9
2019,Normal value,Units,Country Data,Annual,National,Proportion of domestic budget funded by domestic taxes,Kyrgyzstan,Percent,72.6
